vertex, centrality
123, 0.013333333333333334
24004, 0.021739130434782608
29788, 0
100071, 0
105881, 0.019230769230769232
115839, 0
157662, 0.012987012987012988
193044, 0.013157894736842105
194644, 0.013157894736842105
216892, 0.012987012987012988
226940, 0
250065, 0.01282051282051282
278055, 0.01282051282051282
308751, 0.012987012987012988
324462, 0.013157894736842105
355012, 0
358988, 0.012987012987012988
379951, 0.01282051282051282
384065, 0
397035, 0.012987012987012988
414522, 0.013513513513513514
446014, 0
488690, 0.01282051282051282
497479, 0
572693, 0
588339, 0.01282051282051282
610028, 0
680927, 0.01282051282051282
684347, 0
713382, 0.01282051282051282
715009, 0
791075, 0.013157894736842105
844661, 0
910003, 0.01282051282051282
