source, destination, distance
193044, 588339, 2
193044, 610028, 3
193044, 680927, 2
193044, 684347, 3
193044, 713382, 2
193044, 715009, 3
193044, 791075, 2
193044, 844661, 3
193044, 910003, 2
194644, 123, 2
194644, 24004, 1
194644, 29788, 3
194644, 100071, 3
194644, 105881, 2
194644, 115839, 3
194644, 157662, 2
194644, 193044, 2
194644, 194644, 0
194644, 216892, 2
194644, 226940, 3
194644, 250065, 2
194644, 278055, 2
194644, 308751, 2
194644, 324462, 2
194644, 355012, 3
194644, 358988, 2
194644, 379951, 1
194644, 384065, 3
194644, 397035, 2
194644, 414522, 2
194644, 446014, 3
194644, 488690, 2
194644, 497479, 3
194644, 572693, 3
194644, 588339, 2
194644, 610028, 3
194644, 680927, 2
194644, 684347, 3
194644, 713382, 1
194644, 715009, 3
194644, 791075, 2
194644, 844661, 3
194644, 910003, 2
216892, 123, 2
216892, 24004, 1
216892, 29788, 3
216892, 100071, 3
216892, 105881, 2
216892, 115839, 3
216892, 157662, 2
216892, 193044, 2
216892, 194644, 2
216892, 216892, 0
216892, 226940, 3
216892, 250065, 1
216892, 278055, 2
216892, 308751, 2
216892, 324462, 2
216892, 355012, 3
216892, 358988, 2
216892, 379951, 2
216892, 384065, 3
216892, 397035, 2
216892, 414522, 2
216892, 446014, 3
216892, 488690, 2
216892, 497479, 3
216892, 572693, 3
216892, 588339, 2
216892, 610028, 3
216892, 680927, 2
216892, 684347, 3
216892, 713382, 2
216892, 715009, 3
216892, 791075, 2
216892, 844661, 3
216892, 910003, 2
226940, 123, Infinity
226940, 24004, Infinity
226940, 29788, Infinity
226940, 100071, Infinity
226940, 105881, Infinity
226940, 115839, Infinity
226940, 157662, Infinity
226940, 193044, Infinity
226940, 194644, Infinity
226940, 216892, Infinity
226940, 226940, 0
226940, 250065, Infinity
226940, 278055, Infinity
226940, 308751, Infinity
226940, 324462, Infinity
226940, 355012, Infinity
226940, 358988, Infinity
226940, 379951, Infinity
226940, 384065, Infinity
226940, 397035, Infinity
226940, 414522, Infinity
226940, 446014, Infinity
226940, 488690, Infinity
226940, 497479, Infinity
226940, 572693, Infinity
226940, 588339, Infinity
226940, 610028, Infinity
226940, 680927, Infinity
226940, 684347, Infinity
226940, 713382, Infinity
226940, 715009, Infinity
226940, 791075, Infinity
226940, 844661, Infinity
226940, 910003, Infinity
250065, 123, 2
250065, 24004, 1
250065, 29788, 3
250065, 100071, 3
250065, 105881, 2
250065, 115839, 3
250065, 157662, 2
250065, 193044, 2
250065, 194644, 2
250065, 216892, 2
250065, 226940, 3
250065, 250065, 0
250065, 278055, 2
250065, 308751, 2
250065, 324462, 2
250065, 355012, 3
250065, 358988, 2
250065, 379951, 2
250065, 384065, 3
250065, 397035, 2
250065, 414522, 2
250065, 446014, 3
250065, 488690, 2
250065, 497479, 3
250065, 572693, 3
250065, 588339, 2
250065, 610028, 3
250065, 680927, 2
250065, 684347, 3
250065, 713382, 2
250065, 715009, 3
250065, 791075, 2
250065, 844661, 3
250065, 910003, 2
278055, 123, 2
278055, 24004, 1
278055, 29788, 3
278055, 100071, 3
278055, 105881, 2
278055, 115839, 3
278055, 157662, 2
278055, 193044, 2
278055, 194644, 2
278055, 216892, 2
278055, 226940, 3
278055, 250065, 2
278055, 278055, 0
278055, 308751, 2
278055, 324462, 2
278055, 355012, 3
278055, 358988, 2
278055, 379951, 2
278055, 384065, 3
278055, 397035, 2
278055, 414522, 2
278055, 446014, 3
278055, 488690, 2
278055, 497479, 3
278055, 572693, 3
278055, 588339, 2
278055, 610028, 3
278055, 680927, 2
278055, 684347, 3
278055, 713382, 2
278055, 715009, 3
278055, 791075, 2
278055, 844661, 3
278055, 910003, 2
308751, 123, 2
308751, 24004, 1
308751, 29788, 3
308751, 100071, 3
308751, 105881, 2
308751, 115839, 3
308751, 157662, 2
308751, 193044, 2
308751, 194644, 2
308751, 216892, 2
308751, 226940, 3
308751, 250065, 2
308751, 278055, 1
308751, 308751, 0
308751, 324462, 2
308751, 355012, 3
308751, 358988, 2
308751, 379951, 2
308751, 384065, 3
308751, 397035, 2
308751, 414522, 2
308751, 446014, 3
308751, 488690, 2
308751, 497479, 3
308751, 572693, 3
